project,srs_path,score

"GhanaNewsAI\\GNA UPDATED IEEE SRS.pdf","GhanaNewsAI\\GNA UPDATED IEEE SRS.pdf",300
"GhanaNewsAI\\NEWSFEED SRS.pdf","GhanaNewsAI\\NEWSFEED SRS.pdf",186
"brand-guideline-checker\\srs_document.tex","brand-guideline-checker\\srs_document.tex",112
"ai-utilities\\asapro6\\SRS.md","ai-utilities\\asapro6\\SRS.md",94
"ai-utilities\\aucdt-msee-aptitude-test\\docs\\SRS.md","ai-utilities\\aucdt-msee-aptitude-test\\docs\\SRS.md",82
"ai-utilities\\aucdt-msee-aptitude-test\\SRS.md","ai-utilities\\aucdt-msee-aptitude-test\\SRS.md",82
"ai-utilities\\lecturer-assessment-portal-db-v2-27102025-1602\\docs\\SRS.md","ai-utilities\\lecturer-assessment-portal-db-v2-27102025-1602\\docs\\SRS.md",81
"ai-utilities\\lecturer-assessment-portal-db-v2-27102025-1602\\SRS.md","ai-utilities\\lecturer-assessment-portal-db-v2-27102025-1602\\SRS.md",81
"techbridge-strategy-dashboard\\docs\\SRS-Sentinel-Agent-v1.0.md","techbridge-strategy-dashboard\\docs\\SRS-Sentinel-Agent-v1.0.md",69
"techbridge-strategy-dashboard\\docs\\specifications\\SRS-TechBridge-v1.0.md","techbridge-strategy-dashboard\\docs\\specifications\\SRS-TechBridge-v1.0.md",63
"ai-utilities\\modern-product-development-lifecycle (6)\\docs\\SRS.md","ai-utilities\\modern-product-development-lifecycle (6)\\docs\\SRS.md",55
"tsapro\\docs\\SRS_FINAL.md","tsapro\\docs\\SRS_FINAL.md",55
"ai-utilities\\asapro6\\docs\\SRS.md","ai-utilities\\asapro6\\docs\\SRS.md",51
"analytics-refactor\\docs\\SRS_FINAL.md","analytics-refactor\\docs\\SRS_FINAL.md",51
"tsapro\\SRS_IMPLEMENTATION_COMPARISON.md","tsapro\\SRS_IMPLEMENTATION_COMPARISON.md",50
"ai-utilities\\asapro-1\\docs\\SRS_PART4.md","ai-utilities\\asapro-1\\docs\\SRS_PART4.md",49
"ai-utilities\\asapro-181120250747\\docs\\SRS_PART4.md","ai-utilities\\asapro-181120250747\\docs\\SRS_PART4.md",49
"ai-utilities\\asapro-v3\\docs\\SRS_PART4.md","ai-utilities\\asapro-v3\\docs\\SRS_PART4.md",49
"ai-utilities\\asapro18112025\\docs\\SRS_PART4.md","ai-utilities\\asapro18112025\\docs\\SRS_PART4.md",49
"ai-utilities\\asapro3\\docs\\SRS_PART4.md","ai-utilities\\asapro3\\docs\\SRS_PART4.md",49
"ai-utilities\\asapro6\\docs\\SRS_PART4.md","ai-utilities\\asapro6\\docs\\SRS_PART4.md",49
"ai-utilities\\aucdt-sendmail-api-tester\\docs\\SRS.md","ai-utilities\\aucdt-sendmail-api-tester\\docs\\SRS.md",48
"sync-from-d-drive\\Code\\rophe-SRS-ieee830.html","sync-from-d-drive\\Code\\rophe-SRS-ieee830.html",46
"ai-utilities\\asapro-1\\docs\\SRS_PART1.md","ai-utilities\\asapro-1\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro-1\\docs\\SRS_PART3.md","ai-utilities\\asapro-1\\docs\\SRS_PART3.md",44
"ai-utilities\\asapro-181120250747\\docs\\SRS_PART1.md","ai-utilities\\asapro-181120250747\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro-181120250747\\docs\\SRS_PART3.md","ai-utilities\\asapro-181120250747\\docs\\SRS_PART3.md",44
"ai-utilities\\asapro-v3\\docs\\SRS_PART1.md","ai-utilities\\asapro-v3\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro-v3\\docs\\SRS_PART3.md","ai-utilities\\asapro-v3\\docs\\SRS_PART3.md",44
"ai-utilities\\asapro18112025\\docs\\SRS_PART1.md","ai-utilities\\asapro18112025\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro18112025\\docs\\SRS_PART3.md","ai-utilities\\asapro18112025\\docs\\SRS_PART3.md",44
"ai-utilities\\asapro3\\docs\\SRS_PART1.md","ai-utilities\\asapro3\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro3\\docs\\SRS_PART3.md","ai-utilities\\asapro3\\docs\\SRS_PART3.md",44
"ai-utilities\\asapro6\\docs\\SRS_PART1.md","ai-utilities\\asapro6\\docs\\SRS_PART1.md",44
"ai-utilities\\asapro6\\docs\\SRS_PART3.md","ai-utilities\\asapro6\\docs\\SRS_PART3.md",44
"ai-utilities\\creoai\\docs\\SRS_current_state.md","ai-utilities\\creoai\\docs\\SRS_current_state.md",37
"ai-utilities\\compliance-workflow-dashboard (4)\\docs\\SRS_Compliance_Workflow_Dashboard_Final.md","ai-utilities\\compliance-workflow-dashboard (4)\\docs\\SRS_Compliance_Workflow_Dashboard_Final.md",36
