[16] Installing: ai-log-pattern-analyzer
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +454
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 454, reused 0, downloaded 0, added 0
Progress: resolved 454, reused 8, downloaded 0, added 0
Progress: resolved 454, reused 29, downloaded 0, added 0
Progress: resolved 454, reused 51, downloaded 0, added 0
Progress: resolved 454, reused 77, downloaded 0, added 0
Progress: resolved 454, reused 88, downloaded 0, added 0
Progress: resolved 454, reused 110, downloaded 0, added 0
Progress: resolved 454, reused 136, downloaded 0, added 0
Progress: resolved 454, reused 154, downloaded 0, added 0
Progress: resolved 454, reused 161, downloaded 0, added 0
Progress: resolved 454, reused 173, downloaded 0, added 0
Progress: resolved 454, reused 188, downloaded 0, added 0
Progress: resolved 454, reused 212, downloaded 0, added 0
Progress: resolved 454, reused 252, downloaded 0, added 0
Progress: resolved 454, reused 277, downloaded 0, added 0
Progress: resolved 454, reused 294, downloaded 0, added 0
Progress: resolved 454, reused 320, downloaded 0, added 0
Progress: resolved 454, reused 334, downloaded 0, added 0
Progress: resolved 454, reused 384, downloaded 0, added 0
Progress: resolved 454, reused 441, downloaded 0, added 0
Progress: resolved 454, reused 451, downloaded 0, added 0
Progress: resolved 454, reused 451, downloaded 0, added 6
Progress: resolved 454, reused 451, downloaded 0, added 11
Progress: resolved 454, reused 451, downloaded 0, added 13
Progress: resolved 454, reused 451, downloaded 0, added 17
Progress: resolved 454, reused 451, downloaded 0, added 20
Progress: resolved 454, reused 451, downloaded 0, added 21
Progress: resolved 454, reused 451, downloaded 0, added 25
Progress: resolved 454, reused 451, downloaded 0, added 28
Progress: resolved 454, reused 451, downloaded 0, added 35
Progress: resolved 454, reused 451, downloaded 0, added 40
Progress: resolved 454, reused 451, downloaded 0, added 41
Progress: resolved 454, reused 451, downloaded 0, added 42
Progress: resolved 454, reused 451, downloaded 0, added 44
Progress: resolved 454, reused 452, downloaded 0, added 46
Progress: resolved 454, reused 452, downloaded 0, added 48
Progress: resolved 454, reused 452, downloaded 0, added 51
Progress: resolved 454, reused 452, downloaded 0, added 54
Progress: resolved 454, reused 452, downloaded 0, added 60
Progress: resolved 454, reused 452, downloaded 0, added 65
Progress: resolved 454, reused 452, downloaded 0, added 68
Progress: resolved 454, reused 452, downloaded 0, added 71
Progress: resolved 454, reused 452, downloaded 0, added 73
Progress: resolved 454, reused 452, downloaded 0, added 74
Progress: resolved 454, reused 452, downloaded 0, added 76
Progress: resolved 454, reused 452, downloaded 0, added 77
Progress: resolved 454, reused 452, downloaded 0, added 78
