[17] Installing: ai-marketplace-engine
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +454
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 454, reused 2, downloaded 0, added 0
Progress: resolved 454, reused 21, downloaded 0, added 0
Progress: resolved 454, reused 47, downloaded 0, added 0
Progress: resolved 454, reused 72, downloaded 0, added 0
Progress: resolved 454, reused 86, downloaded 0, added 0
Progress: resolved 454, reused 108, downloaded 0, added 0
Progress: resolved 454, reused 132, downloaded 0, added 0
Progress: resolved 454, reused 153, downloaded 0, added 0
Progress: resolved 454, reused 159, downloaded 0, added 0
Progress: resolved 454, reused 168, downloaded 0, added 0
Progress: resolved 454, reused 183, downloaded 0, added 0
Progress: resolved 454, reused 210, downloaded 0, added 0
Progress: resolved 454, reused 232, downloaded 0, added 0
Progress: resolved 454, reused 275, downloaded 0, added 0
Progress: resolved 454, reused 292, downloaded 0, added 0
Progress: resolved 454, reused 318, downloaded 0, added 0
Progress: resolved 454, reused 332, downloaded 0, added 0
Progress: resolved 454, reused 380, downloaded 0, added 0
Progress: resolved 454, reused 438, downloaded 0, added 0
Progress: resolved 454, reused 451, downloaded 0, added 2
Progress: resolved 454, reused 451, downloaded 0, added 9
Progress: resolved 454, reused 451, downloaded 0, added 12
Progress: resolved 454, reused 451, downloaded 0, added 13
Progress: resolved 454, reused 451, downloaded 0, added 16
Progress: resolved 454, reused 451, downloaded 0, added 19
Progress: resolved 454, reused 451, downloaded 0, added 20
Progress: resolved 454, reused 451, downloaded 0, added 21
Progress: resolved 454, reused 451, downloaded 0, added 26
Progress: resolved 454, reused 451, downloaded 0, added 30
Progress: resolved 454, reused 451, downloaded 0, added 36
Progress: resolved 454, reused 451, downloaded 0, added 41
Progress: resolved 454, reused 451, downloaded 0, added 43
Progress: resolved 454, reused 451, downloaded 0, added 44
Progress: resolved 454, reused 451, downloaded 0, added 47
Progress: resolved 454, reused 451, downloaded 0, added 51
Progress: resolved 454, reused 452, downloaded 0, added 55
Progress: resolved 454, reused 452, downloaded 0, added 59
Progress: resolved 454, reused 452, downloaded 0, added 67
Progress: resolved 454, reused 452, downloaded 0, added 71
Progress: resolved 454, reused 452, downloaded 0, added 72
Progress: resolved 454, reused 452, downloaded 0, added 73
Progress: resolved 454, reused 452, downloaded 0, added 75
Progress: resolved 454, reused 452, downloaded 0, added 79
Progress: resolved 454, reused 452, downloaded 0, added 83
Progress: resolved 454, reused 452, downloaded 0, added 84
Progress: resolved 454, reused 452, downloaded 0, added 85
Progress: resolved 454, reused 452, downloaded 0, added 86
