[136] Installing: incident-response-copilot
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +454
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 454, reused 2, downloaded 0, added 0
Progress: resolved 454, reused 3, downloaded 0, added 0
Progress: resolved 454, reused 4, downloaded 0, added 0
Progress: resolved 454, reused 11, downloaded 0, added 0
Progress: resolved 454, reused 14, downloaded 0, added 0
Progress: resolved 454, reused 29, downloaded 0, added 0
Progress: resolved 454, reused 54, downloaded 0, added 0
Progress: resolved 454, reused 74, downloaded 0, added 0
Progress: resolved 454, reused 113, downloaded 0, added 0
Progress: resolved 454, reused 136, downloaded 0, added 0
Progress: resolved 454, reused 170, downloaded 0, added 0
Progress: resolved 454, reused 205, downloaded 0, added 0
Progress: resolved 454, reused 232, downloaded 0, added 0
Progress: resolved 454, reused 267, downloaded 0, added 0
Progress: resolved 454, reused 271, downloaded 0, added 0
Progress: resolved 454, reused 276, downloaded 0, added 0
Progress: resolved 454, reused 283, downloaded 0, added 0
Progress: resolved 454, reused 298, downloaded 0, added 0
Progress: resolved 454, reused 314, downloaded 0, added 0
Progress: resolved 454, reused 325, downloaded 0, added 0
Progress: resolved 454, reused 328, downloaded 0, added 0
Progress: resolved 454, reused 329, downloaded 0, added 0
Progress: resolved 454, reused 330, downloaded 0, added 0
Progress: resolved 454, reused 331, downloaded 0, added 0
Progress: resolved 454, reused 332, downloaded 0, added 0
Progress: resolved 454, reused 335, downloaded 0, added 0
Progress: resolved 454, reused 349, downloaded 0, added 0
Progress: resolved 454, reused 357, downloaded 0, added 0
Progress: resolved 454, reused 371, downloaded 0, added 0
Progress: resolved 454, reused 380, downloaded 0, added 0
Progress: resolved 454, reused 389, downloaded 0, added 0
Progress: resolved 454, reused 402, downloaded 0, added 0
Progress: resolved 454, reused 420, downloaded 0, added 0
Progress: resolved 454, reused 435, downloaded 0, added 0
Progress: resolved 454, reused 444, downloaded 0, added 0
Progress: resolved 454, reused 451, downloaded 0, added 1
Progress: resolved 454, reused 451, downloaded 0, added 8
Progress: resolved 454, reused 451, downloaded 0, added 9
Progress: resolved 454, reused 452, downloaded 0, added 13
Progress: resolved 454, reused 452, downloaded 0, added 14
Progress: resolved 454, reused 452, downloaded 0, added 16
Progress: resolved 454, reused 452, downloaded 0, added 17
Progress: resolved 454, reused 452, downloaded 0, added 24
Progress: resolved 454, reused 452, downloaded 0, added 35
Progress: resolved 454, reused 452, downloaded 0, added 41
Progress: resolved 454, reused 452, downloaded 0, added 46
Progress: resolved 454, reused 452, downloaded 0, added 47
