[167] Installing: modern-product-development-lifecycle
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +266
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 266, reused 0, downloaded 0, added 0
Progress: resolved 266, reused 38, downloaded 0, added 0
Progress: resolved 266, reused 59, downloaded 0, added 0
Progress: resolved 266, reused 79, downloaded 0, added 0
Progress: resolved 266, reused 103, downloaded 0, added 0
Progress: resolved 266, reused 111, downloaded 0, added 0
Progress: resolved 266, reused 126, downloaded 0, added 0
Progress: resolved 266, reused 144, downloaded 0, added 0
Progress: resolved 266, reused 159, downloaded 0, added 0
Progress: resolved 266, reused 205, downloaded 0, added 0
Progress: resolved 266, reused 233, downloaded 0, added 0
Progress: resolved 266, reused 265, downloaded 0, added 1
Progress: resolved 266, reused 265, downloaded 0, added 6
Progress: resolved 266, reused 265, downloaded 0, added 10
Progress: resolved 266, reused 265, downloaded 0, added 16
Progress: resolved 266, reused 266, downloaded 0, added 20
Progress: resolved 266, reused 266, downloaded 0, added 29
Progress: resolved 266, reused 266, downloaded 0, added 31
Progress: resolved 266, reused 266, downloaded 0, added 37
Progress: resolved 266, reused 266, downloaded 0, added 45
Progress: resolved 266, reused 266, downloaded 0, added 49
Progress: resolved 266, reused 266, downloaded 0, added 55
Progress: resolved 266, reused 266, downloaded 0, added 64
Progress: resolved 266, reused 266, downloaded 0, added 72
Progress: resolved 266, reused 266, downloaded 0, added 75
Progress: resolved 266, reused 266, downloaded 0, added 79
Progress: resolved 266, reused 266, downloaded 0, added 81
Progress: resolved 266, reused 266, downloaded 0, added 82
Progress: resolved 266, reused 266, downloaded 0, added 84
Progress: resolved 266, reused 266, downloaded 0, added 88
Progress: resolved 266, reused 266, downloaded 0, added 91
Progress: resolved 266, reused 266, downloaded 0, added 92
Progress: resolved 266, reused 266, downloaded 0, added 96
Progress: resolved 266, reused 266, downloaded 0, added 97
Progress: resolved 266, reused 266, downloaded 0, added 98
Progress: resolved 266, reused 266, downloaded 0, added 99
Progress: resolved 266, reused 266, downloaded 0, added 100
Progress: resolved 266, reused 266, downloaded 0, added 103
Progress: resolved 266, reused 266, downloaded 0, added 107
Progress: resolved 266, reused 266, downloaded 0, added 108
Progress: resolved 266, reused 266, downloaded 0, added 109
Progress: resolved 266, reused 266, downloaded 0, added 110
Progress: resolved 266, reused 266, downloaded 0, added 111
Progress: resolved 266, reused 266, downloaded 0, added 112
Progress: resolved 266, reused 266, downloaded 0, added 113
Progress: resolved 266, reused 266, downloaded 0, added 114
Progress: resolved 266, reused 266, downloaded 0, added 115
Progress: resolved 266, reused 266, downloaded 0, added 116
Progress: resolved 266, reused 266, downloaded 0, added 117
Progress: resolved 266, reused 266, downloaded 0, added 118
Progress: resolved 266, reused 266, downloaded 0, added 119
Progress: resolved 266, reused 266, downloaded 0, added 120
Progress: resolved 266, reused 266, downloaded 0, added 121
Progress: resolved 266, reused 266, downloaded 0, added 122
Progress: resolved 266, reused 266, downloaded 0, added 123
Progress: resolved 266, reused 266, downloaded 0, added 124
Progress: resolved 266, reused 266, downloaded 0, added 125
Progress: resolved 266, reused 266, downloaded 0, added 126
Progress: resolved 266, reused 266, downloaded 0, added 127
Progress: resolved 266, reused 266, downloaded 0, added 128
Progress: resolved 266, reused 266, downloaded 0, added 129
Progress: resolved 266, reused 266, downloaded 0, added 130
Progress: resolved 266, reused 266, downloaded 0, added 131
Progress: resolved 266, reused 266, downloaded 0, added 132
Progress: resolved 266, reused 266, downloaded 0, added 133
Progress: resolved 266, reused 266, downloaded 0, added 134
Progress: resolved 266, reused 266, downloaded 0, added 135
Progress: resolved 266, reused 266, downloaded 0, added 136
Progress: resolved 266, reused 266, downloaded 0, added 137
Progress: resolved 266, reused 266, downloaded 0, added 138
Progress: resolved 266, reused 266, downloaded 0, added 140
Progress: resolved 266, reused 266, downloaded 0, added 141
Progress: resolved 266, reused 266, downloaded 0, added 143
Progress: resolved 266, reused 266, downloaded 0, added 144
Progress: resolved 266, reused 266, downloaded 0, added 146
Progress: resolved 266, reused 266, downloaded 0, added 147
Progress: resolved 266, reused 266, downloaded 0, added 148
Progress: resolved 266, reused 266, downloaded 0, added 149
Progress: resolved 266, reused 266, downloaded 0, added 150
Progress: resolved 266, reused 266, downloaded 0, added 153
Progress: resolved 266, reused 266, downloaded 0, added 154
Progress: resolved 266, reused 266, downloaded 0, added 155
Progress: resolved 266, reused 266, downloaded 0, added 156
Progress: resolved 266, reused 266, downloaded 0, added 157
Progress: resolved 266, reused 266, downloaded 0, added 158
Progress: resolved 266, reused 266, downloaded 0, added 159
Progress: resolved 266, reused 266, downloaded 0, added 160
Progress: resolved 266, reused 266, downloaded 0, added 162
Progress: resolved 266, reused 266, downloaded 0, added 163
Progress: resolved 266, reused 266, downloaded 0, added 165
Progress: resolved 266, reused 266, downloaded 0, added 166
Progress: resolved 266, reused 266, downloaded 0, added 167
Progress: resolved 266, reused 266, downloaded 0, added 168
Progress: resolved 266, reused 266, downloaded 0, added 169
Progress: resolved 266, reused 266, downloaded 0, added 171
Progress: resolved 266, reused 266, downloaded 0, added 172
Progress: resolved 266, reused 266, downloaded 0, added 174
Progress: resolved 266, reused 266, downloaded 0, added 178
Progress: resolved 266, reused 266, downloaded 0, added 179
Progress: resolved 266, reused 266, downloaded 0, added 181
Progress: resolved 266, reused 266, downloaded 0, added 182
Progress: resolved 266, reused 266, downloaded 0, added 184
Progress: resolved 266, reused 266, downloaded 0, added 186
Progress: resolved 266, reused 266, downloaded 0, added 187
Progress: resolved 266, reused 266, downloaded 0, added 188
Progress: resolved 266, reused 266, downloaded 0, added 191
Progress: resolved 266, reused 266, downloaded 0, added 193
Progress: resolved 266, reused 266, downloaded 0, added 196
Progress: resolved 266, reused 266, downloaded 0, added 198
Progress: resolved 266, reused 266, downloaded 0, added 201
Progress: resolved 266, reused 266, downloaded 0, added 202
Progress: resolved 266, reused 266, downloaded 0, added 203
Progress: resolved 266, reused 266, downloaded 0, added 205
Progress: resolved 266, reused 266, downloaded 0, added 206
Progress: resolved 266, reused 266, downloaded 0, added 207
Progress: resolved 266, reused 266, downloaded 0, added 209
Progress: resolved 266, reused 266, downloaded 0, added 211
Progress: resolved 266, reused 266, downloaded 0, added 214
Progress: resolved 266, reused 266, downloaded 0, added 215
Progress: resolved 266, reused 266, downloaded 0, added 217
Progress: resolved 266, reused 266, downloaded 0, added 219
Progress: resolved 266, reused 266, downloaded 0, added 221
Progress: resolved 266, reused 266, downloaded 0, added 225
Progress: resolved 266, reused 266, downloaded 0, added 229
Progress: resolved 266, reused 266, downloaded 0, added 231
Progress: resolved 266, reused 266, downloaded 0, added 233
Progress: resolved 266, reused 266, downloaded 0, added 234
Progress: resolved 266, reused 266, downloaded 0, added 235
Progress: resolved 266, reused 266, downloaded 0, added 236
Progress: resolved 266, reused 266, downloaded 0, added 237
Progress: resolved 266, reused 266, downloaded 0, added 238
Progress: resolved 266, reused 266, downloaded 0, added 239
Progress: resolved 266, reused 266, downloaded 0, added 240
Progress: resolved 266, reused 266, downloaded 0, added 241
Progress: resolved 266, reused 266, downloaded 0, added 246
Progress: resolved 266, reused 266, downloaded 0, added 250
Progress: resolved 266, reused 266, downloaded 0, added 251
Progress: resolved 266, reused 266, downloaded 0, added 253
Progress: resolved 266, reused 266, downloaded 0, added 254
Progress: resolved 266, reused 266, downloaded 0, added 255
Progress: resolved 266, reused 266, downloaded 0, added 256
Progress: resolved 266, reused 266, downloaded 0, added 257
Progress: resolved 266, reused 266, downloaded 0, added 258
Progress: resolved 266, reused 266, downloaded 0, added 260
Progress: resolved 266, reused 266, downloaded 0, added 261
Progress: resolved 266, reused 266, downloaded 0, added 262
Progress: resolved 266, reused 266, downloaded 0, added 263
Progress: resolved 266, reused 266, downloaded 0, added 264
Progress: resolved 266, reused 266, downloaded 0, added 265
Progress: resolved 266, reused 266, downloaded 0, added 266
Progress: resolved 266, reused 266, downloaded 0, added 266, done

dependencies:
+ @google/genai 1.28.0
+ @react-three/fiber 8.16.6
+ @react-three/xr 5.7.1
+ react 19.2.4
+ react-dom 19.2.4
+ three 0.164.1

devDependencies:
+ @testing-library/jest-dom 6.9.1
+ @testing-library/react 16.3.2
+ @testing-library/user-event 14.6.1
+ @types/node 22.19.0
+ @vitejs/plugin-react 5.1.0
+ @vitest/coverage-v8 3.2.4
+ @vitest/ui 3.2.4
+ jsdom 26.1.0
+ typescript 5.8.3
+ vite 6.4.1
+ vitest 3.2.4

Done in 7m 40.1s using pnpm v10.32.1
