[170] Installing: myvbci-camper-app
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +283
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 283, reused 0, downloaded 0, added 0
Progress: resolved 283, reused 58, downloaded 0, added 0
Progress: resolved 283, reused 74, downloaded 0, added 0
Progress: resolved 283, reused 89, downloaded 0, added 0
Progress: resolved 283, reused 95, downloaded 0, added 0
Progress: resolved 283, reused 106, downloaded 0, added 0
Progress: resolved 283, reused 125, downloaded 0, added 0
Progress: resolved 283, reused 134, downloaded 0, added 0
Progress: resolved 283, reused 156, downloaded 0, added 0
Progress: resolved 283, reused 171, downloaded 0, added 0
Progress: resolved 283, reused 201, downloaded 0, added 0
Progress: resolved 283, reused 226, downloaded 0, added 0
Progress: resolved 283, reused 279, downloaded 0, added 0
Progress: resolved 283, reused 280, downloaded 0, added 2
Progress: resolved 283, reused 282, downloaded 0, added 3
Progress: resolved 283, reused 282, downloaded 0, added 7
Progress: resolved 283, reused 282, downloaded 0, added 11
Progress: resolved 283, reused 282, downloaded 0, added 13
Progress: resolved 283, reused 282, downloaded 0, added 16
Progress: resolved 283, reused 282, downloaded 0, added 20
Progress: resolved 283, reused 282, downloaded 0, added 24
Progress: resolved 283, reused 282, downloaded 0, added 30
Progress: resolved 283, reused 282, downloaded 0, added 38
Progress: resolved 283, reused 282, downloaded 0, added 40
Progress: resolved 283, reused 282, downloaded 0, added 45
Progress: resolved 283, reused 282, downloaded 0, added 47
Progress: resolved 283, reused 282, downloaded 0, added 49
Progress: resolved 283, reused 282, downloaded 0, added 51
Progress: resolved 283, reused 282, downloaded 0, added 55
Progress: resolved 283, reused 282, downloaded 0, added 57
Progress: resolved 283, reused 282, downloaded 0, added 60
Progress: resolved 283, reused 282, downloaded 0, added 61
Progress: resolved 283, reused 282, downloaded 0, added 62
Progress: resolved 283, reused 282, downloaded 0, added 63
