[213] Installing: send-platform-dashboard
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Packages: +266
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Progress: resolved 266, reused 6, downloaded 0, added 0
Progress: resolved 266, reused 7, downloaded 0, added 0
Progress: resolved 266, reused 17, downloaded 0, added 0
Progress: resolved 266, reused 18, downloaded 0, added 0
Progress: resolved 266, reused 19, downloaded 0, added 0
Progress: resolved 266, reused 28, downloaded 0, added 0
Progress: resolved 266, reused 39, downloaded 0, added 0
Progress: resolved 266, reused 40, downloaded 0, added 0
Progress: resolved 266, reused 44, downloaded 0, added 0
Progress: resolved 266, reused 45, downloaded 0, added 0
Progress: resolved 266, reused 53, downloaded 0, added 0
Progress: resolved 266, reused 54, downloaded 0, added 0
Progress: resolved 266, reused 59, downloaded 0, added 0
Progress: resolved 266, reused 60, downloaded 0, added 0
Progress: resolved 266, reused 61, downloaded 0, added 0
Progress: resolved 266, reused 62, downloaded 0, added 0
Progress: resolved 266, reused 64, downloaded 0, added 0
Progress: resolved 266, reused 65, downloaded 0, added 0
Progress: resolved 266, reused 67, downloaded 0, added 0
Progress: resolved 266, reused 69, downloaded 0, added 0
Progress: resolved 266, reused 70, downloaded 0, added 0
Progress: resolved 266, reused 71, downloaded 0, added 0
Progress: resolved 266, reused 72, downloaded 0, added 0
Progress: resolved 266, reused 77, downloaded 0, added 0
Progress: resolved 266, reused 96, downloaded 0, added 0
Progress: resolved 266, reused 116, downloaded 0, added 0
Progress: resolved 266, reused 129, downloaded 0, added 0
Progress: resolved 266, reused 142, downloaded 0, added 0
Progress: resolved 266, reused 164, downloaded 0, added 0
Progress: resolved 266, reused 187, downloaded 0, added 0
Progress: resolved 266, reused 207, downloaded 0, added 0
Progress: resolved 266, reused 226, downloaded 0, added 0
Progress: resolved 266, reused 230, downloaded 0, added 0
Progress: resolved 266, reused 231, downloaded 0, added 0
Progress: resolved 266, reused 233, downloaded 0, added 0
Progress: resolved 266, reused 245, downloaded 0, added 0
Progress: resolved 266, reused 248, downloaded 0, added 0
Progress: resolved 266, reused 249, downloaded 0, added 0
Progress: resolved 266, reused 251, downloaded 0, added 0
Progress: resolved 266, reused 252, downloaded 0, added 0
Progress: resolved 266, reused 254, downloaded 0, added 0
Progress: resolved 266, reused 259, downloaded 0, added 0
Progress: resolved 266, reused 261, downloaded 0, added 0
Progress: resolved 266, reused 262, downloaded 0, added 0
Progress: resolved 266, reused 262, downloaded 0, added 1
Progress: resolved 266, reused 262, downloaded 0, added 2
Progress: resolved 266, reused 262, downloaded 0, added 3
Progress: resolved 266, reused 263, downloaded 0, added 4
Progress: resolved 266, reused 263, downloaded 0, added 6
Progress: resolved 266, reused 263, downloaded 0, added 8
Progress: resolved 266, reused 263, downloaded 0, added 9
Progress: resolved 266, reused 264, downloaded 0, added 9
Progress: resolved 266, reused 264, downloaded 0, added 11
Progress: resolved 266, reused 265, downloaded 0, added 15
Progress: resolved 266, reused 265, downloaded 0, added 17
Progress: resolved 266, reused 265, downloaded 0, added 32
Progress: resolved 266, reused 265, downloaded 0, added 36
Progress: resolved 266, reused 265, downloaded 0, added 40
Progress: resolved 266, reused 265, downloaded 0, added 47
Progress: resolved 266, reused 265, downloaded 0, added 51
Progress: resolved 266, reused 265, downloaded 0, added 56
Progress: resolved 266, reused 265, downloaded 0, added 58
Progress: resolved 266, reused 265, downloaded 0, added 59
Progress: resolved 266, reused 265, downloaded 0, added 61
Progress: resolved 266, reused 265, downloaded 0, added 65
Progress: resolved 266, reused 265, downloaded 0, added 66
Progress: resolved 266, reused 265, downloaded 0, added 69
Progress: resolved 266, reused 265, downloaded 0, added 70
Progress: resolved 266, reused 265, downloaded 0, added 71
Progress: resolved 266, reused 265, downloaded 0, added 72
Progress: resolved 266, reused 265, downloaded 0, added 75
Progress: resolved 266, reused 265, downloaded 0, added 79
Progress: resolved 266, reused 265, downloaded 0, added 81
Progress: resolved 266, reused 265, downloaded 0, added 82
Progress: resolved 266, reused 265, downloaded 0, added 93
Progress: resolved 266, reused 265, downloaded 0, added 96
Progress: resolved 266, reused 265, downloaded 0, added 100
Progress: resolved 266, reused 265, downloaded 0, added 106
Progress: resolved 266, reused 266, downloaded 0, added 114
Progress: resolved 266, reused 266, downloaded 0, added 119
Progress: resolved 266, reused 266, downloaded 0, added 127
Progress: resolved 266, reused 266, downloaded 0, added 138
Progress: resolved 266, reused 266, downloaded 0, added 141
Progress: resolved 266, reused 266, downloaded 0, added 142
Progress: resolved 266, reused 266, downloaded 0, added 145
Progress: resolved 266, reused 266, downloaded 0, added 156
Progress: resolved 266, reused 266, downloaded 0, added 162
Progress: resolved 266, reused 266, downloaded 0, added 171
Progress: resolved 266, reused 266, downloaded 0, added 174
Progress: resolved 266, reused 266, downloaded 0, added 178
Progress: resolved 266, reused 266, downloaded 0, added 179
Progress: resolved 266, reused 266, downloaded 0, added 180
Progress: resolved 266, reused 266, downloaded 0, added 181
Progress: resolved 266, reused 266, downloaded 0, added 182
Progress: resolved 266, reused 266, downloaded 0, added 183
Progress: resolved 266, reused 266, downloaded 0, added 188
Progress: resolved 266, reused 266, downloaded 0, added 193
Progress: resolved 266, reused 266, downloaded 0, added 194
Progress: resolved 266, reused 266, downloaded 0, added 195
Progress: resolved 266, reused 266, downloaded 0, added 196
Progress: resolved 266, reused 266, downloaded 0, added 197
Progress: resolved 266, reused 266, downloaded 0, added 198
Progress: resolved 266, reused 266, downloaded 0, added 199
Progress: resolved 266, reused 266, downloaded 0, added 200
Progress: resolved 266, reused 266, downloaded 0, added 201
Progress: resolved 266, reused 266, downloaded 0, added 202
Progress: resolved 266, reused 266, downloaded 0, added 204
Progress: resolved 266, reused 266, downloaded 0, added 206
Progress: resolved 266, reused 266, downloaded 0, added 207
Progress: resolved 266, reused 266, downloaded 0, added 208
Progress: resolved 266, reused 266, downloaded 0, added 210
Progress: resolved 266, reused 266, downloaded 0, added 211
Progress: resolved 266, reused 266, downloaded 0, added 214
Progress: resolved 266, reused 266, downloaded 0, added 215
Progress: resolved 266, reused 266, downloaded 0, added 216
Progress: resolved 266, reused 266, downloaded 0, added 218
Progress: resolved 266, reused 266, downloaded 0, added 219
Progress: resolved 266, reused 266, downloaded 0, added 220
Progress: resolved 266, reused 266, downloaded 0, added 222
Progress: resolved 266, reused 266, downloaded 0, added 224
Progress: resolved 266, reused 266, downloaded 0, added 225
Progress: resolved 266, reused 266, downloaded 0, added 227
Progress: resolved 266, reused 266, downloaded 0, added 228
Progress: resolved 266, reused 266, downloaded 0, added 230
Progress: resolved 266, reused 266, downloaded 0, added 231
Progress: resolved 266, reused 266, downloaded 0, added 232
Progress: resolved 266, reused 266, downloaded 0, added 233
Progress: resolved 266, reused 266, downloaded 0, added 234
Progress: resolved 266, reused 266, downloaded 0, added 235
Progress: resolved 266, reused 266, downloaded 0, added 236
Progress: resolved 266, reused 266, downloaded 0, added 237
Progress: resolved 266, reused 266, downloaded 0, added 238
Progress: resolved 266, reused 266, downloaded 0, added 239
Progress: resolved 266, reused 266, downloaded 0, added 240
Progress: resolved 266, reused 266, downloaded 0, added 241
Progress: resolved 266, reused 266, downloaded 0, added 242
Progress: resolved 266, reused 266, downloaded 0, added 243
Progress: resolved 266, reused 266, downloaded 0, added 244
Progress: resolved 266, reused 266, downloaded 0, added 245
Progress: resolved 266, reused 266, downloaded 0, added 246
Progress: resolved 266, reused 266, downloaded 0, added 247
Progress: resolved 266, reused 266, downloaded 0, added 248
Progress: resolved 266, reused 266, downloaded 0, added 249
Progress: resolved 266, reused 266, downloaded 0, added 250
Progress: resolved 266, reused 266, downloaded 0, added 251
Progress: resolved 266, reused 266, downloaded 0, added 252
Progress: resolved 266, reused 266, downloaded 0, added 253
Progress: resolved 266, reused 266, downloaded 0, added 254
Progress: resolved 266, reused 266, downloaded 0, added 257
Progress: resolved 266, reused 266, downloaded 0, added 258
Progress: resolved 266, reused 266, downloaded 0, added 259
Progress: resolved 266, reused 266, downloaded 0, added 260
Progress: resolved 266, reused 266, downloaded 0, added 261
Progress: resolved 266, reused 266, downloaded 0, added 262
Progress: resolved 266, reused 266, downloaded 0, added 263
Progress: resolved 266, reused 266, downloaded 0, added 264
Progress: resolved 266, reused 266, downloaded 0, added 265
Progress: resolved 266, reused 266, downloaded 0, added 266
Progress: resolved 266, reused 266, downloaded 0, added 266, done

dependencies:
+ lucide-react 0.564.0
+ react 19.2.4
+ react-dom 19.2.4
+ react-router-dom 7.13.1
+ recharts 3.8.0

devDependencies:
+ @testing-library/jest-dom 6.9.1
+ @testing-library/react 16.3.2
+ @testing-library/user-event 14.6.1
+ @types/node 22.19.15
+ @vitejs/plugin-react 5.1.4
+ @vitest/coverage-v8 3.2.4
+ @vitest/ui 3.2.4
+ jsdom 26.1.0
+ typescript 5.8.3
+ vite 6.4.1
+ vitest 3.2.4

╭ Warning ─────────────────────────────────────────────────────────────────────╮
│                                                                              │
│   Ignored build scripts: esbuild@0.25.12.                                    │
│   Run "pnpm approve-builds" to pick which dependencies should be allowed     │
│   to run scripts.                                                            │
│                                                                              │
╰──────────────────────────────────────────────────────────────────────────────╯
Done in 8m 25.9s using pnpm v10.32.1
